slug,status,front_url,back_url,source_count,local_front_image,local_back_image
bn-027,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593188/earnalism/covers/front/cover_681f01b5-27c1-4cb3-b67b-3f1085a8e0f1.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593196/earnalism/covers/back/back_cover_681f01b5-27c1-4cb3-b67b-3f1085a8e0f1.png,1,yes,yes
bn-031,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593206/earnalism/covers/front/cover_6927dfb0-9470-40f9-89ac-f8c7af9854c6.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593217/earnalism/covers/back/back_cover_6927dfb0-9470-40f9-89ac-f8c7af9854c6.png,1,yes,yes
bn-035,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593228/earnalism/covers/front/cover_f14f7b46-692a-4359-a7ab-b35661418a9d.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593239/earnalism/covers/back/back_cover_f14f7b46-692a-4359-a7ab-b35661418a9d.png,1,yes,yes
bn-036,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593251/earnalism/covers/front/cover_84460ab0-27d6-4bd5-b786-07b9252a6a8f.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593262/earnalism/covers/back/back_cover_84460ab0-27d6-4bd5-b786-07b9252a6a8f.png,1,yes,yes
bn-041,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593272/earnalism/covers/front/cover_7770dd36-32a4-4622-9eb7-21d8d7271446.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593284/earnalism/covers/back/back_cover_7770dd36-32a4-4622-9eb7-21d8d7271446.png,1,yes,yes
bn-059,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593318/earnalism/covers/front/cover_4b3ab0ba-eeaa-4c8b-b186-72e03fd39cad.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593329/earnalism/covers/back/back_cover_4b3ab0ba-eeaa-4c8b-b186-72e03fd39cad.png,1,yes,yes
bn-060,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593340/earnalism/covers/front/cover_17aa6322-cffd-49ad-95a1-6278cef20792.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593352/earnalism/covers/back/back_cover_17aa6322-cffd-49ad-95a1-6278cef20792.png,1,yes,yes
bn-066,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593362/earnalism/covers/front/cover_e8c8daa1-3794-45eb-8e01-151456e9ead5.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1780593370/earnalism/covers/back/back_cover_e8c8daa1-3794-45eb-8e01-151456e9ead5.png,1,yes,yes
book-0986aeb7e3,missing,,,0,yes,yes
book-0deb35c750,mapped_front_back,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1779561815/earnalism/covers/front/cover_8dfc862e-b8c9-41e7-8d6c-4729f97806bd.png,https://res.cloudinary.com/dzlrhlfpu/image/upload/v1779561829/earnalism/covers/back/back_cover_8dfc862e-b8c9-41e7-8d6c-4729f97806bd.png,1,no,no
