slug	lang	g0	g1	g2	g3	g4	g5	g6	overall	retries	cover_missing
a-ghost-story	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-horseman-in-the-sky	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-jury-of-her-peers	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-mystery-of-heroism	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-retrieved-reformation	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-scandal-in-bohemia	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-wagner-matinee	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
a-white-heron	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
acres-of-diamonds	en	GATE_0_FAIL	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
alices-adventures-in-wonderland	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
an-occurrence-at-owl-creek-bridge	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
berenice	en	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bharat-at-the-crossroads	en	GATE_0_FAIL	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-027	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-031	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-035	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-036	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-041	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-059	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-060	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
bn-066	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-0986aeb7e3	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-0deb35c750	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-0fbdaa730e	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-1090573dff	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-2b9853ec52	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-2ddbed8293	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-2e468c4990	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-4968248842	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-4b944e64fa	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-5461971092	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-5704b31005	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-5aedda79fe	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-63afd5e9be	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-754da4eab8	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
book-827fdc7aee	ben	GATE_0_WARN_MISSING_COVER	GATE_1_PASS	GATE_2_FAIL	GATE_3_PASS	GATE_4_FAIL	MISSING	MISSING	MANUAL_REQUIRED	1	true
