slug,public_title,bengali_title,english_transliteration,author,language,public_marketing_category,current_status,allowed_cta
book-2b9853ec52,দুই বিঘা জমি,দুই বিঘা জমি,Dui Bigha Jomi,রবীন্দ্রনাথ ঠাকুর,ben,LIVE NOW - Approved Audiobook,BENGALI_AUDIOBOOK_LIVE,Read / Listen
a-ghost-story,A Ghost Story,,,Mark Twain,eng,LIVE NOW - Approved Audiobook,AUDIOBOOK_LIVE_ASSET_BACKED,Read / Listen after route confirmation
muchiram-gurer-jibanchorit,মুচিরাম গুড়ের জীবনচরিত,মুচিরাম গুড়ের জীবনচরিত,Muchiram Gurer Jibanchorit,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
book-d19e96859f,গিন্নি,গিন্নি,Ginni,রবীন্দ্রনাথ ঠাকুর,ben,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
book-f5d593e1f4,রামকানাইয়ের নির্বুদ্ধিতা,রামকানাইয়ের নির্বুদ্ধিতা,Ramkanaiyer Nirbuddhita,রবীন্দ্রনাথ ঠাকুর,ben,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
book-ac5a71075e,পোস্টমাস্টার,পোস্টমাস্টার,Postmaster,রবীন্দ্রনাথ ঠাকুর,ben,COMING TO THE LISTENING ROOM,Reader ready; reserve audiobook candidate,Read / Coming soon
the-gift-of-the-magi,The Gift of the Magi,,,O. Henry,eng,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
the-tell-tale-heart,The Tell-Tale Heart,,,Edgar Allan Poe,eng,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
the-open-window,The Open Window,,,Saki,eng,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
sredni-vashtar,Sredni Vashtar,,,Saki,eng,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
dsires-baby,Désirée's Baby,,,Kate Chopin,eng,COMING TO THE LISTENING ROOM,Reader ready; audiobook candidate,Read / Coming soon
book-1090573dff,ছুটি,ছুটি,Chhuti,রবীন্দ্রনাথ ঠাকুর,ben,READER-FIRST CLASSICS,Reader ready; audio hidden,Read
book-edfcf810c5,ক্ষুধিত পাষাণ,ক্ষুধিত পাষাণ,Kshudhita Pashan,রবীন্দ্রনাথ ঠাকুর,ben,READER-FIRST CLASSICS,Reader ready; audio hidden,Read
book-4b944e64fa,একরাত্রি,একরাত্রি,Ekratri,রবীন্দ্রনাথ ঠাকুর,ben,READER-FIRST CLASSICS,Reader ready; audio hidden,Read
radharani,রাধারাণী,রাধারাণী,Radharani,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,READER-FIRST CLASSICS,Reader ready; audio hidden,Read
nishkriti,নিষ্কৃতি,নিষ্কৃতি,Nishkriti,শরৎচন্দ্র চট্টোপাধ্যায়,ben,READER-FIRST CLASSICS,Reader ready; audio hidden,Read
dracula,Dracula,,,Bram Stoker,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
frankenstein,Frankenstein,,,Mary Wollstonecraft Shelley,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
the-strange-case-of-dr-jekyll-and-mr-hyde,The Strange Case of Dr Jekyll and Mr Hyde,,,Robert Louis Stevenson,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
picture-of-dorian-gray,The Picture of Dorian Gray,,,Oscar Wilde,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
the-time-machine,The Time Machine,,,H. G. Wells,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
the-call-of-the-wild,The Call of the Wild,,,Jack London,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
white-fang,White Fang,,,Jack London,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
great-expectations,Great Expectations,,,Charles Dickens,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
jane-eyre,Jane Eyre,,,Charlotte Brontë,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
pride-and-prejudice,Pride and Prejudice,,,Jane Austen,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
the-secret-garden,The Secret Garden,,,Frances Hodgson Burnett,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
alices-adventures-in-wonderland,Alice's Adventures in Wonderland,,,Lewis Carroll,eng,SEO / LONG-FORM FLAGSHIP SHELF,Reader ready; long-form audio risk,Read
